material,data_source,thickness,stressthickness,R,T,P
Cr-90W,Zhou,140.5511811,-282.3266219,0.1,298,0.27
Cr-90W,Zhou,143.3070866,-291.2751678,0.1,298,0.27
Cr-90W,Zhou,146.8503937,-297.9865772,0.1,298,0.27
Cr-90W,Zhou,149.6062992,-304.6979866,0.1,298,0.27
Cr-90W,Zhou,151.5748031,-309.1722595,0.1,298,0.27
Cr-90W,Zhou,154.3307087,-318.1208054,0.1,298,0.27
Cr-90W,Zhou,157.480315,-327.0693512,0.1,298,0.27
Cr-90W,Zhou,159.4488189,-333.7807606,0.1,298,0.27
Cr-90W,Zhou,161.8110236,-340.49217,0.1,298,0.27
Cr-90W,Zhou,164.5669291,-347.2035794,0.1,298,0.27
Cr-90W,Zhou,166.9291339,-351.6778523,0.1,298,0.27
Cr-90W,Zhou,169.2913386,-358.3892617,0.1,298,0.27
Cr-90W,Zhou,172.8346457,-369.5749441,0.1,298,0.27
Cr-90W,Zhou,175.1968504,-376.2863535,0.1,298,0.27
Cr-90W,Zhou,177.9527559,-385.2348993,0.1,298,0.27
Cr-90W,Zhou,180.7086614,-389.7091723,0.1,298,0.27
Cr-90W,Zhou,183.0708661,-396.4205817,0.1,298,0.27
Cr-90W,Zhou,185.4330709,-400.8948546,0.1,298,0.27
Cr-90W,Zhou,188.5826772,-409.8434004,0.1,298,0.27
Cr-90W,Zhou,191.7322835,-416.5548098,0.1,298,0.27
Cr-90W,Zhou,193.7007874,-423.2662192,0.1,298,0.27
Cr-90W,Zhou,194.8818898,-425.5033557,0.1,298,0.27
Cr-90W,Zhou,196.8503937,-429.9776286,0.1,298,0.27
Cr-90W,Zhou,199.2125984,-436.689038,0.1,298,0.27
Cr-90W,Zhou,200.3937008,-441.163311,0.1,298,0.27
Cr-33W,Su,11.49108,8.833761356,0.12,295,0.27
Cr-33W,Su,30.423,21.33898908,0.12,295,0.27
Cr-33W,Su,47.9412,29.37944037,0.12,295,0.27
Cr-33W,Su,65.44296,37.35226792,0.12,295,0.27
Cr-33W,Su,82.95792,45.07152035,0.12,295,0.27
Cr-33W,Su,100.46508,53.00668077,0.12,295,0.27
Cr-33W,Su,117.9648,61.2559608,0.12,295,0.27
Cr-33W,Su,135.44964,69.29927849,0.12,295,0.27
Cr-33W,Su,152.92512,76.55176824,0.12,295,0.27
Cr-33W,Su,170.40228,84.20272818,0.12,295,0.27
Cr-33W,Su,187.86528,91.04548569,0.12,295,0.27
Cr-33W,Su,205.3218,97.51804376,0.12,295,0.27
Cr-33W,Su,222.76536,103.9513509,0.12,295,0.27
Cr-33W,Su,240.20124,110.3936274,0.12,295,0.27
Cr-33W,Su,257.63616,116.2212409,0.12,295,0.27
Cr-33W,Su,275.06652,121.649626,0.12,295,0.27
Cr-33W,Su,292.4922,126.6494365,0.12,295,0.27
Cr-33W,Su,309.91524,131.7065861,0.12,295,0.27
Cr-33W,Su,327.34212,136.0715146,0.12,295,0.27
Cr-33W,Su,344.76828,140.9807809,0.12,295,0.27
Cr-33W,Su,362.19072,145.5636244,0.12,295,0.27
Cr-33W,Su,379.61304,149.8442057,0.12,295,0.27
Cr-33W,Su,397.03452,154.0776891,0.12,295,0.27
Cr-33W,Su,9.43296,5.956779962,0.24,295,0.27
Cr-33W,Su,23.49888,10.09921364,0.24,295,0.27
Cr-33W,Su,36.15504,12.97820242,0.24,295,0.27
Cr-33W,Su,48.80328,16.71134326,0.24,295,0.27
Cr-33W,Su,61.44072,20.84034087,0.24,295,0.27
Cr-33W,Su,74.08632,25.9023327,0.24,295,0.27
Cr-33W,Su,86.7408,31.13484118,0.24,295,0.27
Cr-33W,Su,99.39792,36.09046835,0.24,295,0.27
Cr-33W,Su,112.05432,41.03776426,0.24,295,0.27
Cr-33W,Su,124.69944,46.20627663,0.24,295,0.27
Cr-33W,Su,137.33832,50.82394675,0.24,295,0.27
Cr-33W,Su,149.97264,55.53567548,0.24,295,0.27
Cr-33W,Su,162.60264,59.95404226,0.24,295,0.27
Cr-33W,Su,175.22688,64.23770643,0.24,295,0.27
Cr-33W,Su,187.8456,68.39983956,0.24,295,0.27
Cr-33W,Su,200.46456,72.92913253,0.24,295,0.27
Cr-33W,Su,213.07512,77.02256629,0.24,295,0.27
Cr-33W,Su,225.68328,80.89451018,0.24,295,0.27
Cr-33W,Su,238.29504,84.79814672,0.24,295,0.27
Cr-33W,Su,250.90296,88.7537065,0.24,295,0.27
Cr-33W,Su,263.50752,92.52065183,0.24,295,0.27
Cr-33W,Su,276.1116,96.18079086,0.24,295,0.27
Cr-33W,Su,288.71136,99.29463991,0.24,295,0.27
Cr-33W,Su,301.31016,102.8773747,0.24,295,0.27
Cr-33W,Su,313.90896,106.372184,0.24,295,0.27
Cr-33W,Su,326.51352,109.733777,0.24,295,0.27
Cr-33W,Su,339.12072,112.4746252,0.24,295,0.27
Cr-33W,Su,351.71808,115.4425145,0.24,295,0.27
Cr-33W,Su,364.30008,118.0631396,0.24,295,0.27
Cr-33W,Su,376.88472,121.0689886,0.24,295,0.27
Cr-33W,Su,389.47128,123.4360179,0.24,295,0.27
Cr-33W,Su,402.04848,126.2286228,0.24,295,0.27
Cr-33W,Su,9.91404,4.79578361,0.36,295,0.27
Cr-33W,Su,22.572,6.468027324,0.36,295,0.27
Cr-33W,Su,33.82524,7.288015122,0.36,295,0.27
Cr-33W,Su,44.37252,8.472580914,0.36,295,0.27
Cr-33W,Su,56.31876,10.61729675,0.36,295,0.27
Cr-33W,Su,66.86352,12.78932406,0.36,295,0.27
Cr-33W,Su,78.79356,14.21653304,0.36,295,0.27
Cr-33W,Su,89.32572,16.52424086,0.36,295,0.27
Cr-33W,Su,99.85356,19.19451231,0.36,295,0.27
Cr-33W,Su,110.38212,21.67607189,0.36,295,0.27
Cr-33W,Su,120.91248,24.6959121,0.36,295,0.27
Cr-33W,Su,131.43816,27.22056657,0.36,295,0.27
Cr-33W,Su,141.95988,29.39938398,0.36,295,0.27
Cr-33W,Su,152.4816,32.81555471,0.36,295,0.27
Cr-33W,Su,163.00656,34.90007855,0.36,295,0.27
Cr-33W,Su,173.52792,37.73534503,0.36,295,0.27
Cr-33W,Su,184.04676,39.49623871,0.36,295,0.27
Cr-33W,Su,194.5602,41.76713213,0.36,295,0.27
Cr-33W,Su,205.06968,43.61353707,0.36,295,0.27
Cr-33W,Su,215.57556,45.98222706,0.36,295,0.27
Cr-33W,Su,226.08396,48.23017196,0.36,295,0.27
Cr-33W,Su,236.59164,50.2856147,0.36,295,0.27
Cr-33W,Su,247.09428,51.96541733,0.36,295,0.27
Cr-33W,Su,257.59872,53.89779046,0.36,295,0.27
Cr-33W,Su,268.10352,55.8560796,0.36,295,0.27
Cr-33W,Su,278.6094,57.66618651,0.36,295,0.27
Cr-33W,Su,289.11276,59.62416945,0.36,295,0.27
Cr-33W,Su,299.61324,61.28048066,0.36,295,0.27
