material,Tm_K,electro_negative,data_source,data_reference_doi,R,T,P,deposition_method,Crystal_Structure,Alloy_type,process_pressure,chamber_base_pressure_Pa,target_substrate_distance_cm,number_of_targets,target_power,Ar_flow_rate(sccm),substrate_type,substrate_prep,substrate_rotation ,Temperature_control,notation
Ag,1234.93,,Flototto,10.1063/1.4746739,0.065,325,0,Thermal evaporation,FCC,Single element,,3.00E-08,,,,,Si (001) native oxide,"degassed(heating, MBE)",,,
Ag,1234.93,,Shull,10.1063/1.363701,0.01,320,0,Thermal evaporation,FCC,Single element,6.70E-07,2.00E-08,,,,,Si (001) native oxide,,,TRUE,
Ag,1234.93,,Seel,10.1063/1.1325379,0.2,323,0,Thermal evaporation,FCC,Single element,,,,,,,oxidized Si,,,,
Ag,1234.93,,Seel,10.1063/1.1325379,0.2,473,0,Thermal evaporation,FCC,Single element,,,,,,,oxidized Si,,,,
Ag-80Cu,1333.202,,Kaub,10.1063/1.5008269,0.071,298,0.27,magnetron sputttering,FCC,Solid solution(phase seperation),0.27,1.33E-05,,2,,10,,,,,
Ag-90Cu,1345.486,,Kaub,10.1063/1.5008269,0.27,298,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,2,,10,,,,,
Ag-95Cu,1351.628,,Kaub,10.1063/1.5008269,0.38,298,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,2,,10,,,,,
Ag-97Cu,1354.0848,,Kaub,10.1063/1.5008269,0.42,298,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,2,,10,,,,,
Co,1768,,Pletea,10.1063/1.2168243,0.05,300,0.05,magnetron sputttering,HCP,Single element,0.05,1.00E-06,17.5,,,10,Si [100] thermal oxide,,,,has 6 Pa
Co,1768,,Pletea,10.1063/1.2168243,0.05,300,0.2,magnetron sputttering,HCP,Single element,0.2,1.00E-06,17.5,,,10,Si [100] thermal oxide,,,,
Co,1768,,Pletea,10.1063/1.2168243,0.05,300,0.5,magnetron sputttering,HCP,Single element,0.5,1.00E-06,17.5,,,10,Si [100] thermal oxide,,,,
Co,1768,,Pletea,10.1063/1.2168243,0.05,300,2,magnetron sputttering,HCP,Single element,2,1.00E-06,17.5,,,10,Si [100] thermal oxide,,,,
Cr,2180,,Thurner,10.1016/0040-6090(90)90072-L,0.087,300,0,Thermal evaporation,BCC,Single element,4.00E-07,2.00E-08,,,,,MgF2,,,,DOI not work
Cr,2180,,Thurner,10.1016/0040-6090(90)90072-L,0.087,473,0,Thermal evaporation,BCC,Single element,4.00E-07,2.00E-08,,,,,MgF2,,,,
Cr,2180,,Thurner,10.1016/0040-6090(90)90306-U,0.087,573,0,Thermal evaporation,BCC,Single element,4.00E-07,2.00E-08,,,,,MgF2,,,,
Cr,2180,,Klokholm,10.1149/1.2411441,0.35,300,0,Thermal evaporation,BCC,Single element,1.30E-04,,,,,,glass,,,,
Cr,2180,,Hoffman,10.1016/0040-6090(77)90137-7,1,298,0.07,magnetron sputttering,BCC,Single element,0.07,,,,,,,,,,Cylinder target
Cr,2180,,Hoffman,10.1016/0040-6090(77)90137-7,1,298,0.27,magnetron sputttering,BCC,Single element,0.27,,,,,,,,,,Cylinder target
Cr,2180,,Hoffman,10.1016/0040-6090(77)90137-7,1,298,0.4,magnetron sputttering,BCC,Single element,0.4,,,,,,,,,,Cylinder target
Cr,2180,,Hoffman,10.1016/0040-6090(77)90137-7,1,298,0.67,magnetron sputttering,BCC,Single element,0.67,,,,,,,,,,Cylinder target
Cr,2180,,Hoffman,10.1016/0040-6090(77)90137-7,1,298,0.15,magnetron sputttering,BCC,Single element,0.15,,,,,,,,,,Cylinder target
Cr,2180,,Hoffman,10.1016/0040-6090(77)90137-7,1,298,1.76,magnetron sputttering,BCC,Single element,1.76,,,,,,,,,,Cylinder target
Cr,2180,,Zhou,10.1016/j.apsusc.2018.08.212,0.11,298,0.27,magnetron sputttering,BCC,Single element,0.27,6.00E-06,,,,,Si [100] thermal oxide,,,,
Cr,2180,,Zhou,10.1016/j.tsf.2016.05.024,0.14,298,0.27,magnetron sputttering,BCC,Single element,0.27,6.00E-06,,,,10,Si (001) native oxide,,,,start at 0.1 nm/s
Cr,2180,refractory,Su,Unpublished,0.08,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr,2180,refractory,Su,Unpublished,0.12,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr,2180,refractory,Su,Unpublished,0.24,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr,2180,refractory,Su,Unpublished,0.36,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
